,经纬,latitude,longitude,"""站点名地铁站名"","
246,31.388831 121.35747 '罗南新村地铁站',121.35747,31.388831,罗南新村地铁站
247,31.401949 121.349966 '美兰湖地铁站',121.349966,31.401949,美兰湖地铁站
248,31.321437 121.398863 '南陈路地铁站',121.398863,31.321437,南陈路地铁站
249,31.364182 121.355845 '潘广路地铁站',121.355845,31.364182,潘广路地铁站
250,31.322315 121.373569 '祁华路地铁站',121.373569,31.322315,祁华路地铁站
251,31.315071 121.40858 '上大路地铁站',121.40858,31.315071,上大路地铁站
252,31.320586 121.388884 '上海大学站地铁站',121.388884,31.320586,上海大学站地铁站
253,31.284942 121.421493 '行知路地铁站',121.421493,31.284942,行知路地铁站
254,31.263952 121.422682 '新村路地铁站',121.422682,31.263952,新村路地铁站
255,31.187566 121.525087 '杨高南路地铁站',121.525087,31.187566,杨高南路地铁站
256,31.182212 121.500439 '云台路地铁站',121.500439,31.182212,云台路地铁站
257,31.174008 121.488524 '长清路地铁站',121.488524,31.174008,长清路地铁站
258,31.199436 121.450212 '肇嘉浜路地铁站',121.450212,31.199436,肇嘉浜路地铁站
259,31.24086 121.438272 '长寿路地铁站',121.438272,31.24086,长寿路地铁站
260,31.246369 121.429779 '镇坪路地铁站',121.429779,31.246369,镇坪路地铁站
261,31.273242 121.509685 '鞍山新村地铁站',121.509685,31.273242,鞍山新村地铁站
262,31.170511 121.496326 '成山路地铁站',121.496326,31.170511,成山路地铁站
263,31.271392 121.479154 '虹口足球场地铁站',121.479154,31.271392,虹口足球场地铁站
264,31.295389 121.533383 '黄兴公园地铁站',121.533383,31.295389,黄兴公园地铁站
265,31.227392 121.479182 '大世界地铁站',121.479182,31.227392,大世界地铁站
266,31.278814 121.528401 '黄兴路地铁站',121.528401,31.278814,黄兴路地铁站
267,31.084253 121.508603 '江月路地铁站',121.508603,31.084253,江月路地铁站
268,31.073567 121.510594 '联航路地铁站',121.510594,31.073567,联航路地铁站
269,31.141301 121.489663 '凌兆新村地铁站',121.489663,31.141301,凌兆新村地铁站
270,31.219014 121.483793 '老西门地铁站',121.483793,31.219014,老西门地铁站
271,31.11907 121.49826 '芦恒路地铁站',121.49826,31.11907,芦恒路地铁站
272,31.274946 121.518379 '江浦路地铁站',121.518379,31.274946,江浦路地铁站
273,31.211789 121.486115 '陆家浜路地铁站',121.486115,31.211789,陆家浜路地铁站
